index,geometry,blankholder_force,sheet_metal_thickness,friction_coefficient
187065,concave,500000.0,1.0,0.14
187066,concave,500000.0,1.0,0.15
384957,convex,100000.0,0.95,0.05
384958,convex,100000.0,0.95,0.06
384959,convex,100000.0,0.95,0.07
384960,convex,100000.0,0.95,0.08
384961,convex,100000.0,0.95,0.09
384962,convex,100000.0,0.95,0.1
384963,convex,100000.0,0.95,0.11
384964,convex,100000.0,0.95,0.12
384965,convex,100000.0,0.95,0.13
384966,convex,100000.0,0.95,0.14
384967,convex,100000.0,0.95,0.15
385056,convex,100000.0,0.96,0.05
385057,convex,100000.0,0.96,0.06
385058,convex,100000.0,0.96,0.07
385059,convex,100000.0,0.96,0.08
385060,convex,100000.0,0.96,0.09
385061,convex,100000.0,0.96,0.1
385062,convex,100000.0,0.96,0.11
385063,convex,100000.0,0.96,0.12
385064,convex,100000.0,0.96,0.13
385065,convex,100000.0,0.96,0.14
385066,convex,100000.0,0.96,0.15
385155,convex,100000.0,0.97,0.05
385156,convex,100000.0,0.97,0.06
385157,convex,100000.0,0.97,0.07
385158,convex,100000.0,0.97,0.08
385159,convex,100000.0,0.97,0.09
385160,convex,100000.0,0.97,0.1
385161,convex,100000.0,0.97,0.11
385162,convex,100000.0,0.97,0.12
385163,convex,100000.0,0.97,0.13
385164,convex,100000.0,0.97,0.14
385165,convex,100000.0,0.97,0.15
385254,convex,100000.0,0.98,0.05
385255,convex,100000.0,0.98,0.06
385256,convex,100000.0,0.98,0.07
385257,convex,100000.0,0.98,0.08
385258,convex,100000.0,0.98,0.09
385259,convex,100000.0,0.98,0.1
385260,convex,100000.0,0.98,0.11
385261,convex,100000.0,0.98,0.12
385262,convex,100000.0,0.98,0.13
385263,convex,100000.0,0.98,0.14
385264,convex,100000.0,0.98,0.15
385353,convex,100000.0,0.99,0.05
385354,convex,100000.0,0.99,0.06
385355,convex,100000.0,0.99,0.07
385356,convex,100000.0,0.99,0.08
385357,convex,100000.0,0.99,0.09
385358,convex,100000.0,0.99,0.1
385359,convex,100000.0,0.99,0.11
385360,convex,100000.0,0.99,0.12
385361,convex,100000.0,0.99,0.13
385362,convex,100000.0,0.99,0.14
385363,convex,100000.0,0.99,0.15
385452,convex,100000.0,1.0,0.05
385453,convex,100000.0,1.0,0.06
385454,convex,100000.0,1.0,0.07
385455,convex,100000.0,1.0,0.08
385456,convex,100000.0,1.0,0.09
385457,convex,100000.0,1.0,0.1
385458,convex,100000.0,1.0,0.11
385459,convex,100000.0,1.0,0.12
385460,convex,100000.0,1.0,0.13
385461,convex,100000.0,1.0,0.14
385462,convex,100000.0,1.0,0.15
387333,convex,300000.0,0.95,0.05
387334,convex,300000.0,0.95,0.06
387335,convex,300000.0,0.95,0.07
387336,convex,300000.0,0.95,0.08
387337,convex,300000.0,0.95,0.09
387338,convex,300000.0,0.95,0.1
387339,convex,300000.0,0.95,0.11
387340,convex,300000.0,0.95,0.12
387341,convex,300000.0,0.95,0.13
387342,convex,300000.0,0.95,0.14
387343,convex,300000.0,0.95,0.15
387432,convex,300000.0,0.96,0.05
387433,convex,300000.0,0.96,0.06
387434,convex,300000.0,0.96,0.07
387435,convex,300000.0,0.96,0.08
387436,convex,300000.0,0.96,0.09
387437,convex,300000.0,0.96,0.1
387438,convex,300000.0,0.96,0.11
387439,convex,300000.0,0.96,0.12
387440,convex,300000.0,0.96,0.13
387441,convex,300000.0,0.96,0.14
387442,convex,300000.0,0.96,0.15
387531,convex,300000.0,0.97,0.05
387532,convex,300000.0,0.97,0.06
387533,convex,300000.0,0.97,0.07
387534,convex,300000.0,0.97,0.08
387535,convex,300000.0,0.97,0.09
387536,convex,300000.0,0.97,0.1
387537,convex,300000.0,0.97,0.11
387538,convex,300000.0,0.97,0.12
387539,convex,300000.0,0.97,0.13
387540,convex,300000.0,0.97,0.14
387541,convex,300000.0,0.97,0.15
387630,convex,300000.0,0.98,0.05
387631,convex,300000.0,0.98,0.06
387632,convex,300000.0,0.98,0.07
387633,convex,300000.0,0.98,0.08
387634,convex,300000.0,0.98,0.09
387635,convex,300000.0,0.98,0.1
387636,convex,300000.0,0.98,0.11
387637,convex,300000.0,0.98,0.12
387638,convex,300000.0,0.98,0.13
387639,convex,300000.0,0.98,0.14
387640,convex,300000.0,0.98,0.15
387729,convex,300000.0,0.99,0.05
387730,convex,300000.0,0.99,0.06
387731,convex,300000.0,0.99,0.07
387732,convex,300000.0,0.99,0.08
387733,convex,300000.0,0.99,0.09
387734,convex,300000.0,0.99,0.1
387735,convex,300000.0,0.99,0.11
387736,convex,300000.0,0.99,0.12
387737,convex,300000.0,0.99,0.13
387738,convex,300000.0,0.99,0.14
387739,convex,300000.0,0.99,0.15
387828,convex,300000.0,1.0,0.05
387829,convex,300000.0,1.0,0.06
387830,convex,300000.0,1.0,0.07
387831,convex,300000.0,1.0,0.08
387832,convex,300000.0,1.0,0.09
387833,convex,300000.0,1.0,0.1
387834,convex,300000.0,1.0,0.11
387835,convex,300000.0,1.0,0.12
387836,convex,300000.0,1.0,0.13
387837,convex,300000.0,1.0,0.14
387838,convex,300000.0,1.0,0.15
389709,convex,500000.0,0.95,0.05
389710,convex,500000.0,0.95,0.06
389711,convex,500000.0,0.95,0.07
389712,convex,500000.0,0.95,0.08
389713,convex,500000.0,0.95,0.09
389714,convex,500000.0,0.95,0.1
389715,convex,500000.0,0.95,0.11
389716,convex,500000.0,0.95,0.12
389717,convex,500000.0,0.95,0.13
389718,convex,500000.0,0.95,0.14
389719,convex,500000.0,0.95,0.15
389808,convex,500000.0,0.96,0.05
389809,convex,500000.0,0.96,0.06
389810,convex,500000.0,0.96,0.07
389811,convex,500000.0,0.96,0.08
389812,convex,500000.0,0.96,0.09
389813,convex,500000.0,0.96,0.1
389814,convex,500000.0,0.96,0.11
389815,convex,500000.0,0.96,0.12
389816,convex,500000.0,0.96,0.13
389817,convex,500000.0,0.96,0.14
389818,convex,500000.0,0.96,0.15
389907,convex,500000.0,0.97,0.05
389908,convex,500000.0,0.97,0.06
389909,convex,500000.0,0.97,0.07
389910,convex,500000.0,0.97,0.08
389911,convex,500000.0,0.97,0.09
389912,convex,500000.0,0.97,0.1
389913,convex,500000.0,0.97,0.11
389914,convex,500000.0,0.97,0.12
389915,convex,500000.0,0.97,0.13
389916,convex,500000.0,0.97,0.14
389917,convex,500000.0,0.97,0.15
390006,convex,500000.0,0.98,0.05
390007,convex,500000.0,0.98,0.06
390008,convex,500000.0,0.98,0.07
390009,convex,500000.0,0.98,0.08
390010,convex,500000.0,0.98,0.09
390011,convex,500000.0,0.98,0.1
390012,convex,500000.0,0.98,0.11
390013,convex,500000.0,0.98,0.12
390014,convex,500000.0,0.98,0.13
390015,convex,500000.0,0.98,0.14
390016,convex,500000.0,0.98,0.15
390105,convex,500000.0,0.99,0.05
390106,convex,500000.0,0.99,0.06
390107,convex,500000.0,0.99,0.07
390108,convex,500000.0,0.99,0.08
390109,convex,500000.0,0.99,0.09
390110,convex,500000.0,0.99,0.1
390111,convex,500000.0,0.99,0.11
390112,convex,500000.0,0.99,0.12
390113,convex,500000.0,0.99,0.13
390114,convex,500000.0,0.99,0.14
390115,convex,500000.0,0.99,0.15
390204,convex,500000.0,1.0,0.05
390205,convex,500000.0,1.0,0.06
390206,convex,500000.0,1.0,0.07
390207,convex,500000.0,1.0,0.08
390208,convex,500000.0,1.0,0.09
390209,convex,500000.0,1.0,0.1
390210,convex,500000.0,1.0,0.11
390211,convex,500000.0,1.0,0.12
390212,convex,500000.0,1.0,0.13
390213,convex,500000.0,1.0,0.14
390214,convex,500000.0,1.0,0.15
